web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668869625-95","https://shopee.co.id/mall/brands/11042849","Trondheim","https://shopee.co.id/trondheimoriginal","","153","96% (hitungan jam)","19,1RB","4.8 (26,5RB penilaian)","4 tahun lalu","null","KOTA CIMAHI","75%offTrondheim Celana Jeans Slim Fit PriaRp99.000 - Rp139.0005,6RB TerjualKOTA CIMAHI","https://shopee.co.id/Trondheim-Celana-Jeans-Slim-Fit-Pria-i.119232628.2200142141?sp_atk=052d254f-5646-4496-855c-3728c3bd9a6b&xptdk=052d254f-5646-4496-855c-3728c3bd9a6b","null","null","null","null","null"
"1668869658-96","https://shopee.co.id/mall/brands/11042849","Triple","https://shopee.co.id/triplejeans","","462","85% (hitungan jam)","30,4RB","4.8 (12,3RB penilaian)","3 tahun lalu","null","KOTA SURABAYA","60%offTRIPLE Ladies Celana Jeans Stretch Slim Fit (94 777 GW)Diskon Rp7RBRp425.000Rp170.000690 TerjualKOTA SURABAYA","https://shopee.co.id/TRIPLE-Ladies-Celana-Jeans-Stretch-Slim-Fit-(94-777-GW)-i.175328065.6419139281?sp_atk=841e43f5-a8fc-4fff-b1e3-d5bf80aa6ca6&xptdk=841e43f5-a8fc-4fff-b1e3-d5bf80aa6ca6","null","null","null","null","null"
"1668869697-97","https://shopee.co.id/mall/brands/11042849","trepel","https://shopee.co.id/trepel.co","","38","79% (hitungan jam)","639","4.8 (419 penilaian)","7 bulan lalu","null","KOTA BANDUNG","27%offTrepel.Co Celana Cargo Pendek Warna Abu Muda Free Gantungan KunciDiskon Rp2RBPilih 3, diskon Rp5.000Rp124.700 - Rp175.000215 TerjualKOTA BANDUNG","https://shopee.co.id/Trepel.Co-Celana-Cargo-Pendek-Warna-Abu-Muda-Free-Gantungan-Kunci-i.754871962.19724584257?sp_atk=0e106990-2e37-4b0b-89a3-60795a9de59f&xptdk=0e106990-2e37-4b0b-89a3-60795a9de59f","null","null","null","null","null"
"1668869735-98","https://shopee.co.id/mall/brands/11042849","Tozicozy","https://shopee.co.id/tozicozy","","174","98% (hitungan jam)","23,6RB","4.8 (8,2RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","Tozicozy Zein Tas Sling Bag Pria Warna Hitam Waterproof Bahan BimoDiskon 50%Hadiah GratisRp159.000349 TerjualKAB. BANDUNG","https://shopee.co.id/Tozicozy-Zein-Tas-Sling-Bag-Pria-Warna-Hitam-Waterproof-Bahan-Bimo-i.130851767.7894154586?sp_atk=616d10d3-4cdc-4af1-9c74-e909e6758b62&xptdk=616d10d3-4cdc-4af1-9c74-e909e6758b62","null","null","null","null","null"
"1668869766-99","https://shopee.co.id/mall/brands/11042849","TOPTEN","https://shopee.co.id/toptenofficial","","208","87% (hitungan jam)","11,9RB","4.7 (1,9RB penilaian)","4 tahun lalu","null","KOTA SURABAYA","52%offTOPTEN Celana Dalam Pria Boxer Premium Topten SportDiskon 10%Rp99.000Rp48.000685 TerjualKOTA SURABAYA","https://shopee.co.id/TOPTEN-Celana-Dalam-Pria-Boxer-Premium-Topten-Sport-i.96058796.6010357260?sp_atk=a87286bb-3374-430f-9b35-32ee8746fc83&xptdk=a87286bb-3374-430f-9b35-32ee8746fc83","null","null","null","null","null"
"1668869816-100","https://shopee.co.id/mall/brands/11042849","TopOne88","https://shopee.co.id/topone88","","289","97% (hitungan jam)","104,9RB","4.7 (150,8RB penilaian)","6 tahun lalu","null","KOTA JAKARTA BARAT","40%offTopone88 Jaket Royal Hoodie Zipper Anak Laki Perempuan UnisexMurah LebayRp100.000Rp60.00010RB+ TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Topone88-Jaket-Royal-Hoodie-Zipper-Anak-Laki-Perempuan-Unisex-i.19222953.784901261?sp_atk=3c9bd62d-ec5b-4640-a53a-afad88ae5b03&xptdk=3c9bd62d-ec5b-4640-a53a-afad88ae5b03","null","null","null","null","null"
"1668869852-101","https://shopee.co.id/mall/brands/11042849","Tootsie","https://shopee.co.id/tootsie.official","","60","88% (hitungan jam)","3,8RB","4.9 (767 penilaian)","8 bulan lalu","null","KOTA BANDUNG","TOOTSIE - Caen T-Shirt -  AdultRp169.900236 TerjualKOTA BANDUNG","https://shopee.co.id/TOOTSIE-Caen-T-Shirt-Adult-i.737806720.17560654763?sp_atk=9e42957e-b5b0-4c68-b0f4-78da01415965&xptdk=9e42957e-b5b0-4c68-b0f4-78da01415965","null","null","null","null","null"
"1668869882-102","https://shopee.co.id/mall/brands/11042849","Tootal Underwear","https://shopee.co.id/tootal.official","","24","27% (hitungan jam)","293","4.9 (255 penilaian)","24 bulan lalu","null","KOTA TANGERANG SELATAN","Tootal Celana Dalam Pria Mini Brief 3 Warna / pack - TTOB03M3CRp89.90030 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Tootal-Celana-Dalam-Pria-Mini-Brief-3-Warna-pack-TTOB03M3C-i.338429743.5567484831?sp_atk=3577a3bd-d6ee-402f-88d7-7acda8863927&xptdk=3577a3bd-d6ee-402f-88d7-7acda8863927","null","null","null","null","null"
"1668869908-103","https://shopee.co.id/mall/brands/11042849","Tootal","https://shopee.co.id/tootal","","83","74% (hitungan jam)","529","4.9 (196 penilaian)","5 tahun lalu","null","KOTA JAKARTA TIMUR","50%offTootal Kemeja Pria Lengan Panjang Stripe 272 BlueDiskon 50%Rp688.000Rp344.00012 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Tootal-Kemeja-Pria-Lengan-Panjang-Stripe-272-Blue-i.39412025.7941584422?sp_atk=524cd699-b326-406a-b5a0-b23d88468374&xptdk=524cd699-b326-406a-b5a0-b23d88468374","null","null","null","null","null"
"1668869946-104","https://shopee.co.id/mall/brands/11042849","TOMS PROJECT","https://shopee.co.id/tomsproject.id","","160","93% (hitungan jam)","38,7RB","4.8 (11,9RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","63%offToms Project Tshirt Saint Muerte - Kaos PriaDiskon Rp5RBPilih 3, bayar Rp195.000Rp185.000Rp69.0002,8RB TerjualKOTA BANDUNG","https://shopee.co.id/Toms-Project-Tshirt-Saint-Muerte-Kaos-Pria-i.55255133.3297105846?sp_atk=46351711-abc9-4954-a8ba-1cff338198d5&xptdk=46351711-abc9-4954-a8ba-1cff338198d5","null","null","null","null","null"
"1668869973-105","https://shopee.co.id/mall/brands/11042849","Tommy Hilfinger","https://shopee.co.id/tommyhilfigerofficial","","159","100% (hitungan menit)","14%","17,9RB","4.8 (197 penilaian)","null","KAB. BOGOR","30%offTommy Hilfiger - REGULAR FIT TOMMY TIPPED POLO 2 - BLACKDiskon Rp15RBRp1.390.000Rp973.0007 TerjualKAB. BOGOR","https://shopee.co.id/Tommy-Hilfiger-REGULAR-FIT-TOMMY-TIPPED-POLO-2-BLACK-i.338434182.20349514959?sp_atk=bb90c35d-93da-479f-a314-def82207e31c&xptdk=bb90c35d-93da-479f-a314-def82207e31c","null","null","null","null","null"
"1668869998-106","https://shopee.co.id/mall/brands/11042849","Tokocrypto","https://shopee.co.id/tokocrypto_official","","21","50%","20%","43","5.0 (4 penilaian)","null","KOTA JAKARTA SELATAN","Tokocrypto - Astronauts Skate Black - Size MRp180.0002 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Tokocrypto-Astronauts-Skate-Black-Size-M-i.637852336.19844837626?sp_atk=930615ac-256e-4c5e-8670-cee79a04394e&xptdk=930615ac-256e-4c5e-8670-cee79a04394e","null","null","null","null","null"
"1668870027-107","https://shopee.co.id/mall/brands/11042849","TNGR","https://shopee.co.id/tngrdeadly","","650","77% (hitungan jam)","28,3RB","4.8 (9,6RB penilaian)","5 tahun lalu","null","KAB. SLEMAN","55%offTNGR Deadly T-Shirt ZHOCX Blue TeesDiskon Rp7,77RBRp165.000Rp75.000212 TerjualKAB. SLEMAN","https://shopee.co.id/TNGR-Deadly-T-Shirt-ZHOCX-Blue-Tees-i.38323773.8642501922?sp_atk=aa454688-2223-4340-8745-a99c789bd909&xptdk=aa454688-2223-4340-8745-a99c789bd909","null","null","null","null","null"
"1668870056-108","https://shopee.co.id/mall/brands/11042849","Tizzly","https://shopee.co.id/tizzly.co","","13","88% (hitungan jam)","3,9RB","4.8 (2RB penilaian)","29 bulan lalu","null","KOTA CIMAHI","35%offTizzly Avernus Varian2Rp187.850 - Rp203.550385 TerjualKOTA CIMAHI","https://shopee.co.id/Tizzly-Avernus-Varian2-i.279384362.3260542535?sp_atk=eacdd62b-7e97-46de-b908-401354089cee&xptdk=eacdd62b-7e97-46de-b908-401354089cee","null","null","null","null","null"
"1668870084-109","https://shopee.co.id/mall/brands/11042849","Tirajeans","https://shopee.co.id/tirajeansofficial","","439","62% (hitungan jam)","31,5RB","4.8 (8,5RB penilaian)","5 tahun lalu","null","KOTA BEKASI","25%offTirajeans T-Shirts L/S TTL205K40004S21 BlackDiskon Rp20RBPilih 2, diskon 30%Rp179.900Rp134.925218 TerjualKOTA BEKASI","https://shopee.co.id/Tirajeans-T-Shirts-L-S-TTL205K40004S21-Black-i.55934463.8148573584?sp_atk=618a32f6-e3a6-4303-b2cb-931f8a46c297&xptdk=618a32f6-e3a6-4303-b2cb-931f8a46c297","null","null","null","null","null"
"1668870120-110","https://shopee.co.id/mall/brands/11042849","TIMONOSD","https://shopee.co.id/timonosd.co","","313","61% (hitungan jam)","60,5RB","4.7 (18,5RB penilaian)","5 tahun lalu","null","KOTA TANGERANG SELATAN","Timonosd Crewneck Tmnsd “Had “Rp210.000544 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Timonosd-Crewneck-Tmnsd-%E2%80%9CHad-%E2%80%9C-i.51123839.3841831780?sp_atk=e74f624b-2997-4368-9a58-93745e4c5e84&xptdk=e74f624b-2997-4368-9a58-93745e4c5e84","null","null","null","null","null"
